timestamp,model,is_final,seed,success_rate_tool_hang_ph,success_rate_can_ph,success_rate_square_ph,elapsed_tool_hang_ph,elapsed_can_ph,elapsed_square_ph
2026-04-19T19:48:59.781005+00:00,baseline:nll_entropy,true,123,0.08,0.88,0.74,22616,9131,11032
2026-04-19T19:48:59.776621+00:00,baseline:nll_entropy,true,42,0.1,0.86,0.8,22568,9131,11032
2026-04-19T19:48:59.782080+00:00,baseline:nll_entropy,true,456,0.04,0.8,0.68,22616,9131,11311
2026-04-19T19:48:59.782080+00:00,baseline:nll_entropy,true,mean,0.0733333333333,0.846666666667,0.74,22600,9131,11125
2026-04-19T19:20:58.870384+00:00,baseline:weighted_nll,true,123,0.02,0.38,0.4,21886,10892,11980
2026-04-19T19:20:58.865962+00:00,baseline:weighted_nll,true,42,0.04,0.42,0.56,21695,10602,11980
2026-04-19T19:20:58.871387+00:00,baseline:weighted_nll,true,456,0.02,0.44,0.48,21886,10892,11980
2026-04-19T19:20:58.871387+00:00,baseline:weighted_nll,true,mean,0.0266666666667,0.413333333333,0.48,21822.3333333,10795.3333333,11980
2026-04-19T19:35:59.851003+00:00,baseline:default,true,123,0.08,0.86,0.64,21791,8108,10656
2026-04-19T19:35:59.847369+00:00,baseline:default,true,42,0.1,0.86,0.76,21791,8108,10189
2026-04-19T19:35:59.851989+00:00,baseline:default,true,456,0.26,0.84,0.8,21791,8113,10656
2026-04-19T19:35:59.851989+00:00,baseline:default,true,mean,0.146666666667,0.853333333333,0.733333333333,21791,8109.66666667,10500.3333333
