timestamp,model,is_final,seed,test_r2_nguyen7,test_r2_nguyen10,test_r2_koza3,elapsed_nguyen7,elapsed_nguyen10,elapsed_koza3
2026-04-23T10:58:52.039617+00:00,baseline:standard_gp,true,42,0.997681,0.883631,0.985457,6,7,7
2026-03-07T17:35:56.587673+00:00,baseline:standard_gp,true,123,0.991348,0.557222,0.997882,,,
2026-03-07T17:35:56.588664+00:00,baseline:standard_gp,true,456,-1.0,0.321661,0.994213,,,
2026-04-23T10:58:52.039617+00:00,baseline:standard_gp,true,mean,0.329676333333,0.587504666667,0.992517333333,6,7,7
2026-04-05T03:03:18.285596+00:00,baseline:parsimony_gp,true,42,0.998416,0.660146,0.998152,4.3,6.1,5.2
2026-04-05T03:04:04.947089+00:00,baseline:parsimony_gp,true,123,0.993885,0.767062,0.995727,7.1,7.1,4.4
2026-04-05T03:04:05.025627+00:00,baseline:parsimony_gp,true,456,0.96424,1.0,0.992995,5.7,6.8,7.2
2026-04-05T03:04:05.025627+00:00,baseline:parsimony_gp,true,mean,0.985513666667,0.809069333333,0.995624666667,5.7,6.66666666667,5.6
2026-04-23T11:02:03.765002+00:00,baseline:lexicase_gp,true,42,0.985628,1.0,0.999978,29,200,200
2026-03-07T17:39:50.883161+00:00,baseline:lexicase_gp,true,123,0.946157,0.643314,0.908243,,,
2026-03-07T17:39:50.883441+00:00,baseline:lexicase_gp,true,456,0.972426,0.5,0.858879,,,
2026-04-23T11:02:03.765002+00:00,baseline:lexicase_gp,true,mean,0.968070333333,0.714438,0.922366666667,29,200,200
