timestamp,model,is_final,seed,eval_return_breakout_v4,eval_return_seaquest_v4,eval_return_pong_v4,elapsed_breakout-v4,elapsed_seaquest-v4,elapsed_pong-v4
2026-03-31T01:43:16.849048+00:00,baseline:qr_dqn,true,123,185.7,7038.0,20.9,,,
2026-03-31T01:43:16.849048+00:00,baseline:qr_dqn,true,42,246.9,7892.0,20.9,,,
2026-03-31T01:43:16.849048+00:00,baseline:qr_dqn,true,456,324.7,12152.0,21.0,,,
2026-03-31T01:43:16.849048+00:00,baseline:qr_dqn,true,mean,252.433333333,9027.33333333,20.9333333333,,,
2026-05-06T01:22:32.878183+00:00,baseline:c51,false,123,132.3,1338.0,20.6,72524,72524,50280
2026-05-06T01:22:32.875590+00:00,baseline:c51,false,42,317.1,1654.0,19.9,72524,72524,50280
2026-05-06T01:22:32.879228+00:00,baseline:c51,false,456,278.5,3034.0,20.2,72524,50280,50280
2026-05-06T01:22:32.879228+00:00,baseline:c51,false,mean,242.633333333,2008.66666667,20.2333333333,72524,65109.3333333,50280
2026-03-31T01:43:16.849048+00:00,baseline:double_dqn,true,123,125.6,5386.0,20.6,,,
2026-03-31T01:43:16.849048+00:00,baseline:double_dqn,true,42,141.6,7178.0,20.4,,,
2026-03-31T01:43:16.849048+00:00,baseline:double_dqn,true,456,244.8,7804.0,21.0,,,
2026-03-31T01:43:16.849048+00:00,baseline:double_dqn,true,mean,170.666666667,6789.33333333,20.6666666667,,,
