timestamp,model,is_final,seed,episode_reward_walker_walk,episode_reward_cheetah_run,episode_reward_cartpole_swingup
2026-04-14T00:25:06.141818+00:00,baseline:cem,true,42,976.71,870.86,881.4
2026-04-14T00:25:06.146054+00:00,baseline:cem,true,123,978.62,907.2,842.02
2026-04-14T00:25:06.147085+00:00,baseline:cem,true,456,975.56,722.37,878.35
2026-04-14T00:25:06.147085+00:00,baseline:cem,true,mean,976.963333333,833.476666667,867.256666667
2026-04-13T20:23:19.072558+00:00,baseline:icem,true,42,977.82,700.66,878.58
2026-04-13T20:23:19.076612+00:00,baseline:icem,true,123,977.43,791.38,881.67
2026-04-13T20:23:19.077593+00:00,baseline:icem,true,456,979.64,897.33,883.45
2026-04-13T20:23:19.077593+00:00,baseline:icem,true,mean,978.296666667,796.456666667,881.233333333
2026-04-13T20:21:48.796142+00:00,baseline:mppi,true,42,978.72,913.08,867.1
2026-04-13T20:21:48.800985+00:00,baseline:mppi,true,123,978.43,877.53,882.16
2026-04-13T20:21:48.802592+00:00,baseline:mppi,true,456,977.78,879.08,882.38
2026-04-13T20:21:48.802592+00:00,baseline:mppi,true,mean,978.31,889.896666667,877.213333333
